session,condition,time,data,time_sec
3,900sc,35,0.0,1.775
4,300sc,0,,0.025
4,300sc,1,,0.07500000000000001
4,300sc,2,,0.125
4,300sc,3,,0.17500000000000002
4,300sc,4,,0.225
4,300sc,5,,0.275
4,300sc,6,,0.32500000000000007
4,300sc,7,,0.37500000000000006
4,300sc,8,,0.42500000000000004
4,300sc,9,,0.47500000000000003
4,300sc,10,,0.525
4,300sc,11,,0.5750000000000001
4,300sc,12,,0.6250000000000001
4,300sc,13,,0.675
4,300sc,14,,0.7250000000000001
4,300sc,15,,0.775
4,300sc,16,,0.8250000000000001
4,300sc,17,,0.8750000000000001
4,300sc,18,,0.925
4,300sc,19,,0.9750000000000001
4,300sc,20,,1.025
4,300sc,21,,1.075
4,300sc,22,,1.125
4,300sc,23,,1.175
4,300sc,24,,1.225
4,300sc,25,,1.275
4,300sc,26,,1.325
4,300sc,27,,1.375
4,300sc,28,,1.425
4,300sc,29,,1.475
4,300sc,30,,1.525
4,300sc,31,,1.575
4,300sc,32,,1.625
4,300sc,33,,1.675
4,300sc,34,,1.725
4,300sc,35,,1.775
4,600sc,0,,0.025
4,600sc,1,,0.07500000000000001
4,600sc,2,,0.125
4,600sc,3,,0.17500000000000002
4,600sc,4,,0.225
4,600sc,5,,0.275
4,600sc,6,,0.32500000000000007
4,600sc,7,,0.37500000000000006
4,600sc,8,,0.42500000000000004
4,600sc,9,,0.47500000000000003
4,600sc,10,,0.525
4,600sc,11,,0.5750000000000001
4,600sc,12,,0.6250000000000001
4,600sc,13,,0.675
4,600sc,14,,0.7250000000000001
4,600sc,15,,0.775
4,600sc,16,,0.8250000000000001
4,600sc,17,,0.8750000000000001
4,600sc,18,,0.925
4,600sc,19,,0.9750000000000001
4,600sc,20,,1.025
4,600sc,21,,1.075
4,600sc,22,,1.125
4,600sc,23,,1.175
4,600sc,24,,1.225
4,600sc,25,,1.275
4,600sc,26,,1.325
4,600sc,27,,1.375
4,600sc,28,,1.425
4,600sc,29,,1.475
4,600sc,30,,1.525
4,600sc,31,,1.575
4,600sc,32,,1.625
4,600sc,33,,1.675
4,600sc,34,,1.725
4,600sc,35,,1.775
4,900sc,0,,0.025
4,900sc,1,,0.07500000000000001
4,900sc,2,,0.125
4,900sc,3,,0.17500000000000002
4,900sc,4,,0.225
4,900sc,5,,0.275
4,900sc,6,,0.32500000000000007
4,900sc,7,,0.37500000000000006
4,900sc,8,,0.42500000000000004
4,900sc,9,,0.47500000000000003
4,900sc,10,,0.525
4,900sc,11,,0.5750000000000001
4,900sc,12,,0.6250000000000001
4,900sc,13,,0.675
4,900sc,14,,0.7250000000000001
4,900sc,15,,0.775
4,900sc,16,,0.8250000000000001
4,900sc,17,,0.8750000000000001
4,900sc,18,,0.925
4,900sc,19,,0.9750000000000001
4,900sc,20,,1.025
4,900sc,21,,1.075
4,900sc,22,,1.125
4,900sc,23,,1.175
4,900sc,24,,1.225
4,900sc,25,,1.275
4,900sc,26,,1.325
4,900sc,27,,1.375
4,900sc,28,,1.425
4,900sc,29,,1.475
4,900sc,30,,1.525
4,900sc,31,,1.575
4,900sc,32,,1.625
4,900sc,33,,1.675
4,900sc,34,,1.725
4,900sc,35,,1.775
5,300sc,0,1.0,0.025
5,300sc,1,0.0,0.07500000000000001
5,300sc,2,3.0,0.125
5,300sc,3,1.0,0.17500000000000002
5,300sc,4,5.0,0.225
5,300sc,5,14.0,0.275
5,300sc,6,8.0,0.32500000000000007
5,300sc,7,10.0,0.37500000000000006
5,300sc,8,2.0,0.42500000000000004
5,300sc,9,0.0,0.47500000000000003
5,300sc,10,0.0,0.525
5,300sc,11,0.0,0.5750000000000001
5,300sc,12,0.0,0.6250000000000001
5,300sc,13,0.0,0.675
5,300sc,14,0.0,0.7250000000000001
5,300sc,15,0.0,0.775
5,300sc,16,0.0,0.8250000000000001
5,300sc,17,0.0,0.8750000000000001
5,300sc,18,0.0,0.925
5,300sc,19,0.0,0.9750000000000001
5,300sc,20,0.0,1.025
5,300sc,21,0.0,1.075
5,300sc,22,0.0,1.125
5,300sc,23,0.0,1.175
5,300sc,24,0.0,1.225
5,300sc,25,0.0,1.275
5,300sc,26,0.0,1.325
5,300sc,27,0.0,1.375
5,300sc,28,0.0,1.425
5,300sc,29,0.0,1.475
5,300sc,30,0.0,1.525
5,300sc,31,0.0,1.575
5,300sc,32,0.0,1.625
5,300sc,33,0.0,1.675
5,300sc,34,0.0,1.725
5,300sc,35,0.0,1.775
5,600sc,0,,0.025
5,600sc,1,,0.07500000000000001
5,600sc,2,,0.125
5,600sc,3,,0.17500000000000002
5,600sc,4,,0.225
5,600sc,5,,0.275
5,600sc,6,,0.32500000000000007
5,600sc,7,,0.37500000000000006
5,600sc,8,,0.42500000000000004
5,600sc,9,,0.47500000000000003
5,600sc,10,,0.525
5,600sc,11,,0.5750000000000001
5,600sc,12,,0.6250000000000001
5,600sc,13,,0.675
5,600sc,14,,0.7250000000000001
5,600sc,15,,0.775
5,600sc,16,,0.8250000000000001
5,600sc,17,,0.8750000000000001
5,600sc,18,,0.925
5,600sc,19,,0.9750000000000001
5,600sc,20,,1.025
5,600sc,21,,1.075
5,600sc,22,,1.125
5,600sc,23,,1.175
5,600sc,24,,1.225
5,600sc,25,,1.275
5,600sc,26,,1.325
5,600sc,27,,1.375
5,600sc,28,,1.425
5,600sc,29,,1.475
5,600sc,30,,1.525
5,600sc,31,,1.575
5,600sc,32,,1.625
5,600sc,33,,1.675
5,600sc,34,,1.725
5,600sc,35,,1.775
5,900sc,0,0.0,0.025
5,900sc,1,0.0,0.07500000000000001
5,900sc,2,0.0,0.125
5,900sc,3,1.0,0.17500000000000002
5,900sc,4,0.0,0.225
5,900sc,5,0.0,0.275
5,900sc,6,2.0,0.32500000000000007
5,900sc,7,3.0,0.37500000000000006
5,900sc,8,3.0,0.42500000000000004
5,900sc,9,0.0,0.47500000000000003
5,900sc,10,2.0,0.525
5,900sc,11,1.0,0.5750000000000001
5,900sc,12,0.0,0.6250000000000001
5,900sc,13,0.0,0.675
5,900sc,14,0.0,0.7250000000000001
5,900sc,15,1.0,0.775
5,900sc,16,1.0,0.8250000000000001
5,900sc,17,0.0,0.8750000000000001
5,900sc,18,0.0,0.925
5,900sc,19,0.0,0.9750000000000001
5,900sc,20,0.0,1.025
5,900sc,21,1.0,1.075
5,900sc,22,0.0,1.125
5,900sc,23,0.0,1.175
5,900sc,24,0.0,1.225
5,900sc,25,0.0,1.275
5,900sc,26,0.0,1.325
5,900sc,27,0.0,1.375
5,900sc,28,0.0,1.425
5,900sc,29,0.0,1.475
5,900sc,30,1.0,1.525
5,900sc,31,0.0,1.575
5,900sc,32,0.0,1.625
5,900sc,33,0.0,1.675
5,900sc,34,0.0,1.725
5,900sc,35,0.0,1.775
6,300sc,0,0.0,0.025
6,300sc,1,0.0,0.07500000000000001
6,300sc,2,1.0,0.125
6,300sc,3,2.0,0.17500000000000002
6,300sc,4,1.0,0.225
6,300sc,5,5.0,0.275
6,300sc,6,4.0,0.32500000000000007
6,300sc,7,1.0,0.37500000000000006
6,300sc,8,2.0,0.42500000000000004
6,300sc,9,1.0,0.47500000000000003
6,300sc,10,0.0,0.525
6,300sc,11,0.0,0.5750000000000001
6,300sc,12,0.0,0.6250000000000001
6,300sc,13,0.0,0.675
6,300sc,14,0.0,0.7250000000000001
6,300sc,15,0.0,0.775
6,300sc,16,0.0,0.8250000000000001
6,300sc,17,0.0,0.8750000000000001
6,300sc,18,0.0,0.925
6,300sc,19,0.0,0.9750000000000001
6,300sc,20,0.0,1.025
6,300sc,21,0.0,1.075
6,300sc,22,0.0,1.125
6,300sc,23,0.0,1.175
6,300sc,24,0.0,1.225
6,300sc,25,0.0,1.275
6,300sc,26,0.0,1.325
6,300sc,27,0.0,1.375
6,300sc,28,0.0,1.425
6,300sc,29,0.0,1.475
6,300sc,30,0.0,1.525
6,300sc,31,0.0,1.575
6,300sc,32,0.0,1.625
6,300sc,33,0.0,1.675
6,300sc,34,0.0,1.725
6,300sc,35,0.0,1.775
6,600sc,0,,0.025
6,600sc,1,,0.07500000000000001
6,600sc,2,,0.125
6,600sc,3,,0.17500000000000002
6,600sc,4,,0.225
6,600sc,5,,0.275
6,600sc,6,,0.32500000000000007
6,600sc,7,,0.37500000000000006
6,600sc,8,,0.42500000000000004
6,600sc,9,,0.47500000000000003
6,600sc,10,,0.525
6,600sc,11,,0.5750000000000001
6,600sc,12,,0.6250000000000001
6,600sc,13,,0.675
6,600sc,14,,0.7250000000000001
6,600sc,15,,0.775
6,600sc,16,,0.8250000000000001
6,600sc,17,,0.8750000000000001
6,600sc,18,,0.925
6,600sc,19,,0.9750000000000001
6,600sc,20,,1.025
6,600sc,21,,1.075
6,600sc,22,,1.125
6,600sc,23,,1.175
6,600sc,24,,1.225
6,600sc,25,,1.275
6,600sc,26,,1.325
6,600sc,27,,1.375
6,600sc,28,,1.425
6,600sc,29,,1.475
6,600sc,30,,1.525
6,600sc,31,,1.575
6,600sc,32,,1.625
6,600sc,33,,1.675
6,600sc,34,,1.725
6,600sc,35,,1.775
6,900sc,0,,0.025
6,900sc,1,,0.07500000000000001
6,900sc,2,,0.125
6,900sc,3,,0.17500000000000002
6,900sc,4,,0.225
6,900sc,5,,0.275
6,900sc,6,,0.32500000000000007
6,900sc,7,,0.37500000000000006
6,900sc,8,,0.42500000000000004
6,900sc,9,,0.47500000000000003
6,900sc,10,,0.525
6,900sc,11,,0.5750000000000001
6,900sc,12,,0.6250000000000001
6,900sc,13,,0.675
6,900sc,14,,0.7250000000000001
6,900sc,15,,0.775
6,900sc,16,,0.8250000000000001
6,900sc,17,,0.8750000000000001
6,900sc,18,,0.925
6,900sc,19,,0.9750000000000001
6,900sc,20,,1.025
6,900sc,21,,1.075
6,900sc,22,,1.125
6,900sc,23,,1.175
6,900sc,24,,1.225
6,900sc,25,,1.275
6,900sc,26,,1.325
6,900sc,27,,1.375
6,900sc,28,,1.425
6,900sc,29,,1.475
6,900sc,30,,1.525
6,900sc,31,,1.575
6,900sc,32,,1.625
6,900sc,33,,1.675
6,900sc,34,,1.725
6,900sc,35,,1.775
7,300sc,0,3.0,0.025
7,300sc,1,2.0,0.07500000000000001
7,300sc,2,7.0,0.125
7,300sc,3,21.0,0.17500000000000002
7,300sc,4,22.0,0.225
7,300sc,5,15.0,0.275
7,300sc,6,15.0,0.32500000000000007
7,300sc,7,11.0,0.37500000000000006
7,300sc,8,2.0,0.42500000000000004
7,300sc,9,0.0,0.47500000000000003
7,300sc,10,0.0,0.525
7,300sc,11,0.0,0.5750000000000001
7,300sc,12,0.0,0.6250000000000001
7,300sc,13,0.0,0.675
7,300sc,14,0.0,0.7250000000000001
7,300sc,15,0.0,0.775
7,300sc,16,0.0,0.8250000000000001
7,300sc,17,0.0,0.8750000000000001
7,300sc,18,0.0,0.925
7,300sc,19,0.0,0.9750000000000001
7,300sc,20,0.0,1.025
7,300sc,21,0.0,1.075
7,300sc,22,0.0,1.125
7,300sc,23,0.0,1.175
7,300sc,24,0.0,1.225
7,300sc,25,0.0,1.275
7,300sc,26,0.0,1.325
7,300sc,27,0.0,1.375
7,300sc,28,0.0,1.425
7,300sc,29,0.0,1.475
7,300sc,30,0.0,1.525
7,300sc,31,0.0,1.575
7,300sc,32,0.0,1.625
7,300sc,33,0.0,1.675
7,300sc,34,0.0,1.725
7,300sc,35,0.0,1.775
7,600sc,0,1.0,0.025
7,600sc,1,3.0,0.07500000000000001
7,600sc,2,1.0,0.125
7,600sc,3,16.0,0.17500000000000002
7,600sc,4,23.0,0.225
7,600sc,5,16.0,0.275
7,600sc,6,14.0,0.32500000000000007
7,600sc,7,16.0,0.37500000000000006
7,600sc,8,8.0,0.42500000000000004
7,600sc,9,9.0,0.47500000000000003
7,600sc,10,5.0,0.525
7,600sc,11,6.0,0.5750000000000001
7,600sc,12,2.0,0.6250000000000001
7,600sc,13,4.0,0.675
7,600sc,14,1.0,0.7250000000000001
7,600sc,15,1.0,0.775
7,600sc,16,1.0,0.8250000000000001
7,600sc,17,0.0,0.8750000000000001
7,600sc,18,0.0,0.925
7,600sc,19,0.0,0.9750000000000001
7,600sc,20,0.0,1.025
7,600sc,21,0.0,1.075
7,600sc,22,0.0,1.125
7,600sc,23,0.0,1.175
7,600sc,24,0.0,1.225
7,600sc,25,0.0,1.275
7,600sc,26,0.0,1.325
7,600sc,27,0.0,1.375
7,600sc,28,0.0,1.425
7,600sc,29,0.0,1.475
7,600sc,30,0.0,1.525
7,600sc,31,0.0,1.575
7,600sc,32,0.0,1.625
7,600sc,33,0.0,1.675
7,600sc,34,0.0,1.725
7,600sc,35,0.0,1.775
7,900sc,0,1.0,0.025
7,900sc,1,1.0,0.07500000000000001
7,900sc,2,7.0,0.125
7,900sc,3,9.0,0.17500000000000002
7,900sc,4,10.0,0.225
7,900sc,5,18.0,0.275
7,900sc,6,8.0,0.32500000000000007
7,900sc,7,11.0,0.37500000000000006
7,900sc,8,2.0,0.42500000000000004
