session,condition,time,data,experiment
11,0,8,0.16666666666666666,noise
11,0,9,0.16666666666666666,noise
11,1,0,,noise
11,1,1,,noise
11,1,2,,noise
11,1,3,,noise
11,1,4,,noise
11,1,5,,noise
11,1,6,,noise
11,1,7,,noise
11,1,8,,noise
11,1,9,,noise
12,0,0,0.2857142857142857,noise
12,0,1,0.14285714285714285,noise
12,0,2,0.0,noise
12,0,3,0.0,noise
12,0,4,0.0,noise
12,0,5,0.21428571428571427,noise
12,0,6,0.0,noise
12,0,7,0.07142857142857142,noise
12,0,8,0.07142857142857142,noise
12,0,9,0.21428571428571427,noise
12,1,0,0.36363636363636365,noise
12,1,1,0.18181818181818182,noise
12,1,2,0.09090909090909091,noise
12,1,3,0.0,noise
12,1,4,0.13636363636363635,noise
12,1,5,0.045454545454545456,noise
12,1,6,0.0,noise
12,1,7,0.0,noise
12,1,8,0.045454545454545456,noise
12,1,9,0.13636363636363635,noise
13,0,0,0.2,noise
13,0,1,0.05,noise
13,0,2,0.125,noise
13,0,3,0.05,noise
13,0,4,0.25,noise
13,0,5,0.0,noise
13,0,6,0.025,noise
13,0,7,0.025,noise
13,0,8,0.125,noise
13,0,9,0.15,noise
13,1,0,0.09090909090909091,noise
13,1,1,0.2727272727272727,noise
13,1,2,0.2727272727272727,noise
13,1,3,0.09090909090909091,noise
13,1,4,0.0,noise
13,1,5,0.2727272727272727,noise
13,1,6,0.0,noise
13,1,7,0.0,noise
13,1,8,0.0,noise
13,1,9,0.0,noise
14,0,0,0.2608695652173913,noise
14,0,1,0.0,noise
14,0,2,0.0,noise
14,0,3,0.0,noise
14,0,4,0.0,noise
14,0,5,0.0,noise
14,0,6,0.13043478260869565,noise
14,0,7,0.13043478260869565,noise
14,0,8,0.30434782608695654,noise
14,0,9,0.17391304347826086,noise
14,1,0,0.3333333333333333,noise
14,1,1,0.0,noise
14,1,2,0.0,noise
14,1,3,0.0,noise
14,1,4,0.0,noise
14,1,5,0.0,noise
14,1,6,0.0,noise
14,1,7,0.0,noise
14,1,8,0.0,noise
14,1,9,0.6666666666666666,noise
15,0,0,0.07563025210084033,noise
15,0,1,0.1092436974789916,noise
15,0,2,0.12605042016806722,noise
15,0,3,0.07563025210084033,noise
15,0,4,0.1092436974789916,noise
15,0,5,0.08403361344537816,noise
15,0,6,0.1092436974789916,noise
15,0,7,0.1092436974789916,noise
15,0,8,0.10084033613445378,noise
15,0,9,0.10084033613445378,noise
15,1,0,0.11475409836065574,noise
15,1,1,0.11475409836065574,noise
15,1,2,0.06557377049180328,noise
